# {"t_start": 1592859484.5921917, "env_id": "Acrobot-v1"} 
r,l,t
-131.0,132,1.6891
-83.0,84,1.846093
-86.0,87,2.007239
-76.0,77,2.152842
-98.0,99,2.339039
-186.0,187,2.853127
-182.0,183,3.189325
-88.0,89,3.352912
-79.0,80,3.496177
-97.0,98,3.839365
-84.0,85,3.991374
-75.0,76,4.132576
-79.0,80,4.279849
-63.0,64,4.396856
-69.0,70,4.522364
-102.0,103,4.877655
-87.0,88,5.041879
-82.0,83,5.196003
-71.0,72,5.327464
-98.0,99,5.508044
-92.0,93,5.67575
-113.0,114,6.054495
-96.0,97,6.231281
-75.0,76,6.372328
-80.0,81,6.517547
-146.0,147,6.791963
-96.0,97,7.137657
-239.0,240,7.586117
-78.0,79,7.733124
-81.0,82,7.888845
-97.0,98,8.234756
-75.0,76,8.382502
-84.0,85,8.534297
-92.0,93,8.707943
-87.0,88,8.874308
-75.0,76,9.015621
-88.0,89,9.34811
-63.0,64,9.465792
-75.0,76,9.604913
-83.0,84,9.758745
-94.0,95,9.938975
-83.0,84,10.09616
-88.0,89,10.429305
-89.0,90,10.597827
-92.0,93,10.769991
-102.0,103,10.960639
-89.0,90,11.131799
-76.0,77,11.2723
-82.0,83,11.593609
-99.0,100,11.772744
-215.0,216,12.170688
-79.0,80,12.324767
-78.0,79,12.639258
-74.0,75,12.778519
-81.0,82,12.932586
-71.0,72,13.064617
-72.0,73,13.201689
-72.0,73,13.33712
-61.0,62,13.455232
-81.0,82,13.775198
-92.0,93,13.946481
-137.0,138,14.204917
-83.0,84,14.361982
-80.0,81,14.515609
-74.0,75,14.657718
-76.0,77,14.966603
-116.0,117,15.186786
-88.0,89,15.35448
-76.0,77,15.4977
-91.0,92,15.671567
-62.0,63,15.788381
-71.0,72,16.083977
-207.0,208,16.477592
-89.0,90,16.65117
-75.0,76,16.793841
-97.0,98,17.144907
-63.0,64,17.266244
-74.0,75,17.405062
-301.0,302,17.974633
-94.0,95,18.323808
-88.0,89,18.488125
-208.0,209,18.874215
-82.0,83,19.026607
-92.0,93,19.366497
-92.0,93,19.536696
-80.0,81,19.686841
-70.0,71,19.818411
-95.0,96,19.995905
-98.0,99,20.179431
-81.0,82,20.499376
-72.0,73,20.637384
-74.0,75,20.774541
-93.0,94,20.949109
-82.0,83,21.104766
-75.0,76,21.246904
-90.0,91,21.579837
-81.0,82,21.731508
-98.0,99,21.914425
-95.0,96,22.092329
-147.0,148,22.368029
-83.0,84,22.691987
-88.0,89,22.857498
-62.0,63,22.975866
-62.0,63,23.091796
-71.0,72,23.2245
-76.0,77,23.368614
-103.0,104,23.560426
-85.0,86,23.882113
-67.0,68,24.007022
-62.0,63,24.123439
-175.0,176,24.449178
-74.0,75,24.589268
-107.0,108,24.95149
-108.0,109,25.155969
-60.0,61,25.270086
-64.0,65,25.389801
-83.0,84,25.545488
-74.0,75,25.687155
-102.0,103,26.044488
-68.0,69,26.175924
-95.0,96,26.353073
-73.0,74,26.494214
-121.0,122,26.723016
-97.0,98,26.904492
-75.0,76,27.213903
-95.0,96,27.394457
-96.0,97,27.578091
-85.0,86,27.739326
-94.0,95,27.919005
-81.0,82,28.071219
-71.0,72,28.373371
-81.0,82,28.529008
-84.0,85,28.688332
-75.0,76,28.829262
-70.0,71,28.963581
-82.0,83,29.122022
-77.0,78,29.434814
-77.0,78,29.580874
-71.0,72,29.71676
-126.0,127,29.958078
-64.0,65,30.077872
-82.0,83,30.231634
-86.0,87,30.560271
-86.0,87,30.734525
-63.0,64,30.857189
-89.0,90,31.029859
-70.0,71,31.164428
-87.0,88,31.327363
-89.0,90,31.493284
-74.0,75,31.805814
-80.0,81,31.958852
-81.0,82,32.112879
-91.0,92,32.283807
-117.0,118,32.503331
-67.0,68,32.630959
-96.0,97,32.976942
-76.0,77,33.121644
-85.0,86,33.279246
-81.0,82,33.431741
-76.0,77,33.572794
-105.0,106,33.935945
-86.0,87,34.095396
-96.0,97,34.273958
-73.0,74,34.41182
-89.0,90,34.580566
-94.0,95,34.756638
-99.0,100,35.106375
-101.0,102,35.295987
-83.0,84,35.452663
-206.0,207,35.839148
-66.0,67,35.961937
-96.0,97,36.307582
-80.0,81,36.457923
-73.0,74,36.594518
-62.0,63,36.711032
-78.0,79,36.858742
-107.0,108,37.058667
-76.0,77,37.363514
-83.0,84,37.514239
-98.0,99,37.693289
-72.0,73,37.82514
-84.0,85,37.984319
-79.0,80,38.131383
-92.0,93,38.468834
-212.0,213,38.871431
-88.0,89,39.038826
-90.0,91,39.210052
-63.0,64,39.330893
-158.0,159,39.791691
-95.0,96,39.973189
-159.0,160,40.273933
-83.0,84,40.431572
-81.0,82,40.747187
-94.0,95,40.922495
-79.0,80,41.070513
-89.0,90,41.241334
-67.0,68,41.368541
-84.0,85,41.529207
-83.0,84,41.853394
-73.0,74,41.994698
-77.0,78,42.140656
-71.0,72,42.275937
-63.0,64,42.397644
-77.0,78,42.54479
-94.0,95,42.88971
-100.0,101,43.075593
-87.0,88,43.239004
-83.0,84,43.398757
