# {"t_start": 1592780233.226264, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.255058
-500.0,500,3.321345
-500.0,500,4.398149
-500.0,500,5.492068
-500.0,500,6.551317
-500.0,500,7.606098
-500.0,500,8.662837
-500.0,500,9.710723
-500.0,500,10.773226
-498.0,499,11.82048
-343.0,344,12.609762
-500.0,500,13.667616
-375.0,376,14.497278
-358.0,359,15.136166
-457.0,458,16.104766
-359.0,360,16.899331
-256.0,257,17.353107
-300.0,301,18.046537
-239.0,240,18.626991
-194.0,195,18.976536
-283.0,284,19.482286
-243.0,244,20.073815
-197.0,198,20.427364
-326.0,327,21.169839
-203.0,204,21.533527
-202.0,203,22.054564
-207.0,208,22.429583
-236.0,237,23.019899
-210.0,211,23.389284
-177.0,178,23.705798
-190.0,191,24.200288
-185.0,186,24.527619
-215.0,216,25.070843
-206.0,207,25.43965
-170.0,171,25.744317
-212.0,213,26.281883
-144.0,145,26.539033
-146.0,147,26.799282
-161.0,162,27.25233
-160.0,161,27.541657
-124.0,125,27.763374
-125.0,126,27.988382
-188.0,189,28.485163
-108.0,109,28.676843
-162.0,163,28.968452
-180.0,181,29.458194
-131.0,132,29.69327
-112.0,113,29.896766
-126.0,127,30.127072
-126.0,127,30.50998
-125.0,126,30.730098
-157.0,158,31.005096
-109.0,110,31.197187
-104.0,105,31.544244
-137.0,138,31.790025
-114.0,115,31.998573
-142.0,143,32.255913
-109.0,110,32.613733
-126.0,127,32.835329
-119.0,120,33.053202
-118.0,119,33.26466
-182.0,183,33.765193
-159.0,160,34.050181
-126.0,127,34.277434
-165.0,166,34.73335
-130.0,131,34.962908
-500.0,500,36.011724
-335.0,336,36.618451
-100.0,101,36.956873
-105.0,106,37.145508
-113.0,114,37.353736
-104.0,105,37.54314
-113.0,114,37.749277
-166.0,167,38.210773
-85.0,86,38.365341
-128.0,129,38.600368
-118.0,119,38.813065
-117.0,118,39.183234
-153.0,154,39.45845
-121.0,122,39.674962
-94.0,95,39.844231
-99.0,100,40.185156
-103.0,104,40.366271
-107.0,108,40.55893
-117.0,118,40.767962
-116.0,117,40.975464
-101.0,102,41.313553
-120.0,121,41.524195
-117.0,118,41.729825
-127.0,128,41.959818
-100.0,101,42.29622
-157.0,158,42.580358
-132.0,133,42.814085
-79.0,80,42.956176
-111.0,112,43.314718
-135.0,136,43.555749
-128.0,129,43.786415
-90.0,91,43.94695
-117.0,118,44.158689
-98.0,99,44.506263
-91.0,92,44.66592
-177.0,178,44.975858
-109.0,110,45.167166
-173.0,174,45.633092
-111.0,112,45.828655
-130.0,131,46.056608
-151.0,152,46.333027
-117.0,118,46.702256
-92.0,93,46.871683
-88.0,89,47.030752
-106.0,107,47.22595
-214.0,215,47.764758
-97.0,98,47.935629
-126.0,127,48.16475
-84.0,85,48.319177
-95.0,96,48.498437
-131.0,132,48.893265
-208.0,209,49.273348
-108.0,109,49.47364
-107.0,108,49.828426
-136.0,137,50.073745
-77.0,78,50.212794
-132.0,133,50.449147
-83.0,84,50.599082
-175.0,176,51.075046
-86.0,87,51.230904
-105.0,106,51.41934
-98.0,99,51.594998
-106.0,107,51.944182
-96.0,97,52.114166
-99.0,100,52.291837
-117.0,118,52.503978
-113.0,114,52.709433
-121.0,122,53.085052
-500.0,500,54.138446
-110.0,111,54.333305
-93.0,94,54.503062
-92.0,93,54.669726
-97.0,98,54.843281
-110.0,111,55.214124
-134.0,135,55.449434
-74.0,75,55.579982
-93.0,94,55.743469
-88.0,89,55.89933
-111.0,112,56.257186
-82.0,83,56.402254
-102.0,103,56.587265
-88.0,89,56.745989
-97.0,98,56.919307
-93.0,94,57.087959
-84.0,85,57.395265
-104.0,105,57.580953
-123.0,124,57.8037
-123.0,124,58.028537
-118.0,119,58.402202
-94.0,95,58.570303
-127.0,128,58.797413
-76.0,77,58.938588
-79.0,80,59.082193
-106.0,107,59.434756
-100.0,101,59.615089
-186.0,187,59.951886
-82.0,83,60.099615
-84.0,85,60.252315
-78.0,79,60.551043
-91.0,92,60.714218
-90.0,91,60.876683
-92.0,93,61.047673
-96.0,97,61.220692
-84.0,85,61.373563
-81.0,82,61.683003
-88.0,89,61.838204
-79.0,80,61.980042
-358.0,359,62.787794
-66.0,67,62.907793
-273.0,274,63.40417
-107.0,108,63.760222
-130.0,131,63.994666
-81.0,82,64.142182
-90.0,91,64.303547
-99.0,100,64.48174
-92.0,93,64.807966
-90.0,91,64.972144
-73.0,74,65.106168
-85.0,86,65.259995
-84.0,85,65.415775
-85.0,86,65.571372
-89.0,90,65.902912
-87.0,88,66.059472
-101.0,102,66.240562
-95.0,96,66.411391
-109.0,110,66.60691
-100.0,101,66.786952
-146.0,147,67.211873
-96.0,97,67.388065
-83.0,84,67.53749
-212.0,213,68.080378
-79.0,80,68.220807
-79.0,80,68.361049
-101.0,102,68.544103
-83.0,84,68.693099
-96.0,97,68.866536
-84.0,85,69.179405
-111.0,112,69.383928
-120.0,121,69.606133
-93.0,94,69.778624
-87.0,88,69.942143
-103.0,104,70.293879
-102.0,103,70.477297
-73.0,74,70.610248
-87.0,88,70.767026
-110.0,111,70.969602
-88.0,89,71.131488
-104.0,105,71.478086
-90.0,91,71.642336
-77.0,78,71.783742
-89.0,90,71.948866
-81.0,82,72.103106
-91.0,92,72.429181
-92.0,93,72.591681
-85.0,86,72.741591
-76.0,77,72.875848
-106.0,107,73.065059
-86.0,87,73.222112
-114.0,115,73.586945
-124.0,125,73.808059
-71.0,72,73.938061
-86.0,87,74.094818
-101.0,102,74.277288
-79.0,80,74.58015
-81.0,82,74.726268
-97.0,98,74.899599
-84.0,85,75.051725
-80.0,81,75.196194
-83.0,84,75.346191
-111.0,112,75.704292
-161.0,162,75.986266
-86.0,87,76.140039
-78.0,79,76.279178
-99.0,100,76.45804
-99.0,100,76.80546
-77.0,78,76.9414
-91.0,92,77.102249
-89.0,90,77.262554
-89.0,90,77.425958
-106.0,107,77.787416
-114.0,115,78.004646
-109.0,110,78.209125
-72.0,73,78.343347
-71.0,72,78.477331
-87.0,88,78.639538
-92.0,93,78.972347
-83.0,84,79.121333
-98.0,99,79.301322
-89.0,90,79.467154
-122.0,123,79.692791
-88.0,89,80.020523
-136.0,137,80.267491
-74.0,75,80.403406
-69.0,70,80.529695
-89.0,90,80.691844
-71.0,72,80.820457
-90.0,91,81.141242
-77.0,78,81.277005
-92.0,93,81.439072
-86.0,87,81.592048
-81.0,82,81.738913
-65.0,66,81.857559
-88.0,89,82.17647
-85.0,86,82.332112
-93.0,94,82.502739
-87.0,88,82.660131
-126.0,127,82.887024
-76.0,77,83.022899
-84.0,85,83.330422
-102.0,103,83.511577
-92.0,93,83.677202
-96.0,97,83.849496
-80.0,81,83.996333
-81.0,82,84.303571
-63.0,64,84.4191
-91.0,92,84.588861
-70.0,71,84.714613
-102.0,103,84.894842
-78.0,79,85.033918
-99.0,100,85.379066
-84.0,85,85.532187
-75.0,76,85.668765
-94.0,95,85.839046
-112.0,113,86.042878
-71.0,72,86.172215
-75.0,76,86.467031
-85.0,86,86.616634
-87.0,88,86.773718
-92.0,93,86.938642
-86.0,87,87.095759
-81.0,82,87.242641
-77.0,78,87.552375
-95.0,96,87.71981
-91.0,92,87.880569
-76.0,77,88.015777
-87.0,88,88.171659
-68.0,69,88.294719
-80.0,81,88.597579
-89.0,90,88.754003
-100.0,101,88.934914
-97.0,98,89.110191
-80.0,81,89.255017
-93.0,94,89.424418
-93.0,94,89.748694
-120.0,121,89.959823
-100.0,101,90.140856
-111.0,112,90.34134
-151.0,152,90.772355
-76.0,77,90.906519
-84.0,85,91.054407
-103.0,104,91.235654
-61.0,62,91.344081
-108.0,109,91.537951
-83.0,84,91.84905
-104.0,105,92.032454
-81.0,82,92.17659
-78.0,79,92.316561
-75.0,76,92.45189
-126.0,127,92.838016
-97.0,98,93.009078
-226.0,227,93.420901
-82.0,83,93.574307
-75.0,76,93.713007
-62.0,63,93.98846
-77.0,78,94.127235
-73.0,74,94.258992
-86.0,87,94.414505
-90.0,91,94.580141
-89.0,90,94.738763
-97.0,98,95.073297
-89.0,90,95.237166
-88.0,89,95.403037
-103.0,104,95.594374
