# {"t_start": 1592857265.4724414, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,2.084412
200.0,200,2.403284
200.0,200,3.009636
200.0,200,3.329644
200.0,200,3.651101
200.0,200,4.139391
200.0,200,4.465298
200.0,200,4.95008
200.0,200,5.270709
200.0,200,5.590637
200.0,200,6.081958
200.0,200,6.402339
200.0,200,6.89395
200.0,200,7.214701
200.0,200,7.529869
200.0,200,8.024433
200.0,200,8.347076
200.0,200,8.827864
200.0,200,9.14667
200.0,200,9.468438
200.0,200,9.95941
200.0,200,10.284283
200.0,200,10.601009
200.0,200,11.085241
200.0,200,11.409737
200.0,200,11.904358
200.0,200,12.223197
200.0,200,12.544941
200.0,200,13.038645
200.0,200,13.360214
200.0,200,13.85075
200.0,200,14.173239
200.0,200,14.499849
200.0,200,14.992505
200.0,200,15.311215
200.0,200,15.803719
200.0,200,16.126518
200.0,200,16.447338
200.0,200,16.940197
200.0,200,17.25678
200.0,200,17.738852
200.0,200,18.06071
200.0,200,18.380121
200.0,200,18.867747
200.0,200,19.182772
200.0,200,19.503557
200.0,200,20.001371
200.0,200,20.316211
200.0,200,20.80776
200.0,200,21.131455
200.0,200,21.455536
200.0,200,21.946048
200.0,200,22.264199
200.0,200,22.760431
200.0,200,23.077846
200.0,200,23.397305
200.0,200,23.8869
200.0,200,24.210745
200.0,200,24.697575
200.0,200,25.019653
200.0,200,25.337921
200.0,200,25.830101
200.0,200,26.152726
200.0,200,26.472201
200.0,200,26.953361
200.0,200,27.270762
200.0,200,27.767338
200.0,200,28.081751
200.0,200,28.406984
200.0,200,28.897985
200.0,200,29.217145
200.0,200,29.705949
200.0,200,30.021881
200.0,200,30.340252
200.0,200,30.834598
200.0,200,31.156226
200.0,200,31.649246
200.0,200,31.974045
200.0,200,32.292337
200.0,200,32.779525
200.0,200,33.09384
200.0,200,33.582362
200.0,200,33.906574
200.0,200,34.226026
200.0,200,34.717032
200.0,200,35.030764
200.0,200,35.352433
200.0,200,35.847657
200.0,200,36.166095
200.0,200,36.654607
200.0,200,36.978032
200.0,200,37.299542
