# {"t_start": 1592777325.9124308, "env_id": "CartPole-v0"} 
r,l,t
27.0,27,1.427886
59.0,59,1.516701
18.0,18,1.543933
18.0,18,1.5716
39.0,39,1.630844
37.0,37,1.686786
15.0,15,1.709189
27.0,27,1.750041
15.0,15,1.772849
22.0,22,1.805858
38.0,38,1.862777
37.0,37,1.919011
18.0,18,1.945577
32.0,32,1.993894
10.0,10,2.009494
15.0,15,2.031996
14.0,14,2.053133
18.0,18,2.080324
31.0,31,2.126863
14.0,14,2.148086
44.0,44,2.379403
12.0,12,2.398762
27.0,27,2.440086
34.0,34,2.491897
82.0,82,2.61858
13.0,13,2.641289
42.0,42,2.706907
16.0,16,2.731111
29.0,29,2.775045
16.0,16,2.799912
9.0,9,2.813655
17.0,17,2.839899
20.0,20,2.870602
17.0,17,2.897645
17.0,17,2.924083
31.0,31,2.97232
21.0,21,3.004629
14.0,14,3.026731
36.0,36,3.083128
15.0,15,3.106389
11.0,11,3.286056
12.0,12,3.304778
27.0,27,3.345746
33.0,33,3.395792
27.0,27,3.437394
26.0,26,3.478262
37.0,37,3.534832
33.0,33,3.585341
49.0,49,3.660767
15.0,15,3.683991
13.0,13,3.703669
34.0,34,3.755243
12.0,12,3.773037
11.0,11,3.789289
31.0,31,3.836284
12.0,12,3.854795
30.0,30,3.902281
26.0,26,3.943696
20.0,20,3.973685
12.0,12,3.992339
12.0,12,4.011467
9.0,9,4.025382
16.0,16,4.050462
13.0,13,4.228364
31.0,31,4.276466
36.0,36,4.329802
13.0,13,4.349823
54.0,54,4.431374
38.0,38,4.489251
35.0,35,4.542818
51.0,51,4.620242
31.0,31,4.667908
29.0,29,4.713766
11.0,11,4.731035
73.0,73,4.845901
18.0,18,4.87455
27.0,27,4.917034
68.0,68,5.182599
13.0,13,5.201906
30.0,30,5.248246
72.0,72,5.359231
13.0,13,5.378895
43.0,43,5.444666
16.0,16,5.469055
44.0,44,5.536929
38.0,38,5.595547
22.0,22,5.629092
18.0,18,5.657159
68.0,68,5.760265
31.0,31,5.80851
98.0,98,5.95651
45.0,45,6.185188
51.0,51,6.262317
85.0,85,6.389776
71.0,71,6.498842
30.0,30,6.544934
42.0,42,6.610126
49.0,49,6.684992
26.0,26,6.724532
46.0,46,6.794338
77.0,77,7.072135
17.0,17,7.098281
101.0,101,7.253312
71.0,71,7.359969
125.0,125,7.552649
47.0,47,7.624768
120.0,120,7.808217
51.0,51,8.044696
62.0,62,8.136565
48.0,48,8.210335
90.0,90,8.349771
69.0,69,8.456263
68.0,68,8.561085
