# {"t_start": 1592863188.7383175, "env_id": "MountainCarContinuous-v0"} 
r,l,t
88.178455,77,1.545793
87.958367,74,1.659539
89.206533,76,1.777512
87.131532,82,1.905671
86.83352,84,2.036719
89.046427,83,2.166196
89.612315,75,2.449389
88.550093,76,2.571127
88.957431,83,2.702829
89.063307,81,2.831478
86.737802,78,2.954809
89.616728,82,3.082854
90.28206,76,3.365526
89.194604,87,3.504028
86.623453,77,3.62561
87.239914,77,3.74827
89.719049,75,3.868221
82.505983,149,4.105418
87.205073,80,4.393304
88.187056,78,4.51428
88.46149,78,4.633943
88.684643,86,4.768353
90.96535,85,4.902003
88.723115,78,5.022808
88.184223,79,5.30559
88.730354,79,5.430977
87.751266,84,5.563697
88.254754,79,5.688703
88.470487,78,5.81321
86.959014,82,5.942626
88.738219,78,6.065767
88.204859,75,6.346506
88.08467,108,6.51425
87.749269,79,6.635875
89.596735,77,6.755779
89.528275,78,6.877383
87.703907,98,7.031984
88.789061,82,7.321541
87.469186,78,7.443372
89.263005,79,7.566781
87.009154,79,7.68958
88.212197,75,7.808977
89.262088,76,7.928861
86.724119,80,8.217149
88.713073,77,8.339194
87.695555,77,8.46219
87.651514,80,8.589041
88.772875,78,8.709629
86.57523,79,8.835346
88.007528,78,8.954034
80.154415,159,9.370902
86.143144,83,9.503594
87.152686,76,9.624203
88.557316,79,9.750934
87.655458,77,9.873805
82.698457,154,10.27886
76.467396,190,10.578473
88.693981,78,10.703092
88.028133,76,10.824882
87.633554,82,11.117778
87.998489,79,11.245659
88.446325,87,11.387776
88.145736,76,11.509646
79.216485,157,11.762098
88.264201,78,11.887603
78.476507,164,12.31621
88.872256,81,12.447659
88.650553,83,12.579598
88.993749,78,12.703611
87.439432,77,12.825098
88.631532,78,13.113292
89.479309,78,13.237819
88.22001,79,13.362715
87.814247,104,13.52796
87.933408,79,13.653867
88.303961,80,13.780529
87.712519,82,14.071989
89.841064,79,14.200402
89.235682,76,14.320848
88.766178,76,14.441188
89.765954,77,14.563109
88.740967,80,14.691035
89.180607,77,14.815734
87.473537,76,15.100869
83.608792,148,15.336972
89.213176,78,15.461126
88.750869,78,15.58261
88.522852,78,15.705283
88.251601,84,15.836604
88.658452,78,16.120101
89.302012,78,16.242599
88.339071,80,16.36929
88.008909,83,16.502143
87.983965,79,16.628522
87.698463,82,16.757688
87.874588,82,17.049931
90.093544,77,17.172846
86.51777,145,17.397053
88.57586,78,17.51915
88.620818,113,17.691293
88.47477,78,17.97612
87.697847,81,18.104283
86.935395,79,18.22981
88.454512,74,18.34756
89.212884,76,18.469229
87.547795,75,18.591713
87.018978,82,18.722884
88.052263,78,19.00756
87.486067,81,19.136483
89.02261,79,19.260112
88.401658,78,19.383331
87.624364,80,19.510398
88.723853,76,19.629636
89.968087,77,19.914505
88.488905,77,20.03769
