# {"t_start": 1592779759.3509655, "env_id": "MountainCarContinuous-v0"} 
r,l,t
23.97763,801,2.767984
53.962769,389,3.529192
32.734188,710,4.784931
-97.570043,999,6.670179
20.475734,835,8.307094
45.04743,498,9.248824
66.011351,342,9.774803
62.037644,369,10.518261
56.432805,398,11.319577
48.152087,488,12.246537
56.982931,413,13.061662
68.157031,317,13.557086
68.687002,332,14.243689
70.52332,284,14.853896
59.377809,395,15.47742
72.104283,310,16.129112
77.257729,202,16.448436
66.533815,367,17.188174
58.777505,388,17.957388
54.098841,445,18.804328
74.654708,225,19.157756
71.989014,271,19.74591
71.439166,250,20.146067
74.381675,193,20.447587
82.587748,169,20.887461
39.469781,519,21.871655
69.847047,259,22.273226
64.605067,282,22.884878
39.780762,563,23.927233
68.27442,318,24.588942
71.288023,279,25.033039
65.704994,284,25.647504
73.662956,259,26.053965
60.758043,281,26.668541
59.042055,354,27.228575
60.439626,360,27.964355
43.772435,557,29.004148
48.534302,466,29.89474
63.524356,297,30.532316
76.672812,231,30.88985
77.401568,208,31.373365
69.253859,302,31.840153
68.949874,236,32.37632
76.117597,224,32.72532
66.006691,350,33.443647
74.870543,232,33.807556
65.708933,313,34.458537
72.956871,257,34.859317
80.421799,199,35.33324
73.211148,228,35.695088
67.56551,278,36.302936
66.836066,313,36.790159
58.440304,351,37.501472
67.933973,251,37.896823
70.723227,267,38.485604
71.128662,276,39.08376
71.283116,254,39.486671
79.189946,207,39.815496
65.807296,262,40.402724
64.015208,348,41.11518
41.659068,493,42.054895
73.72376,203,42.373208
70.484246,282,42.969553
76.466355,216,43.301408
65.775474,275,43.716523
79.057344,209,44.206678
78.693319,190,44.499352
79.602361,198,44.97094
71.311293,281,45.401617
75.386208,222,45.910427
76.571196,196,46.210212
79.427765,195,46.514657
72.890068,251,47.071571
77.015543,234,47.430807
70.629096,242,47.97734
77.79719,170,48.243181
74.26962,250,48.799735
68.947212,282,49.242008
74.330389,202,49.738033
73.13519,233,50.094013
75.568778,204,50.415466
79.73352,201,50.898072
72.124882,202,51.214016
65.215776,291,51.839735
73.474819,263,52.256201
72.954045,236,52.789885
78.39394,204,53.102548
77.274229,244,53.650244
76.141863,234,54.017167
78.114192,203,54.50063
54.140274,443,55.192854
71.531401,265,55.777752
77.04042,234,56.14976
75.751798,233,56.681704
68.555017,285,57.130822
69.5724,272,57.728462
60.549264,377,58.493942
64.016824,342,59.038205
75.304386,224,59.570755
78.016635,223,59.918707
61.811737,323,60.587611
75.523638,244,60.969031
72.807313,207,61.455659
70.13905,233,61.817871
71.534497,270,62.403338
80.694148,180,62.685128
79.448999,230,63.04277
80.678543,204,63.524935
68.167639,297,63.990903
82.739421,167,64.420545
79.882573,160,64.676518
71.854776,275,65.283141
81.299167,206,65.611616
77.877541,182,65.894041
60.670514,410,66.69685
69.453113,322,67.368345
77.014199,215,67.708512
74.889154,202,68.192318
71.443377,244,68.578396
80.179679,194,68.886028
82.286656,170,69.32884
74.441941,199,69.646508
80.849032,188,70.107235
81.408555,191,70.411838
75.131179,198,70.724101
74.294024,186,71.186609
81.246661,154,71.431336
82.977766,145,71.657545
82.122567,155,72.067743
83.01965,115,72.24465
67.862231,272,72.669549
71.087489,317,73.331091
78.626842,180,73.607599
73.290489,219,74.115595
64.827174,310,74.601185
76.347709,171,75.037822
77.102035,147,75.259519
82.10557,154,75.502801
77.0955,179,75.948386
77.741238,149,76.180774
72.775302,256,76.576999
75.463041,164,76.995449
75.739071,217,77.334254
74.642325,196,77.805307
75.302748,203,78.125421
82.498439,147,78.358317
79.635856,154,78.600621
80.507888,180,79.057706
72.796336,186,79.349184
69.169289,240,79.884797
84.761685,121,80.076254
