# {"t_start": 1592778790.800681, "env_id": "Pendulum-v0"} 
r,l,t
-1521.705734,200,1.71067
-1352.79317,200,2.032551
-1747.907031,200,2.519392
-1541.044062,200,2.84159
-998.852312,200,3.159805
-1614.190107,200,3.650365
-1326.311096,200,3.977756
-1364.905064,200,4.463373
-1319.525405,200,4.789129
-838.842101,200,5.119722
-1433.838393,200,5.610361
-1787.548829,200,5.943658
-1004.834533,200,6.437023
-1720.391378,200,6.763573
-1645.271426,200,7.092728
-1290.863652,200,7.581683
-1462.932901,200,7.911239
-1041.315479,200,8.403918
-1445.661451,200,8.737018
-1042.699701,200,9.070796
-1350.272642,200,9.562322
-1636.730543,200,9.887391
-1592.475773,200,10.216486
-1792.872623,200,10.700338
-1121.200001,200,11.026585
-1086.14841,200,11.526196
-1628.161641,200,11.85406
-1383.928039,200,12.181449
-1798.583157,200,12.676037
-1116.157128,200,13.002733
-1208.566782,200,13.489883
-1190.800259,200,13.827082
-1633.19952,200,14.158357
-1021.813333,200,14.65605
-864.026057,200,14.990131
-1040.120745,200,15.488923
-1194.019078,200,15.818634
-905.110685,200,16.140175
-1108.070784,200,16.635826
-1276.258024,200,16.965557
-1187.171689,200,17.454448
-1194.653265,200,17.787102
-1025.133902,200,18.122792
-1155.424299,200,18.620356
-1551.845516,200,18.953568
-1031.492635,200,19.285839
-1079.163427,200,19.776222
-1078.841182,200,20.099511
-1289.079955,200,20.593911
-909.842352,200,20.924496
-891.767612,200,21.253912
-1329.573715,200,21.754543
-1192.271829,200,22.085309
-1708.480255,200,22.578653
-1098.247451,200,22.910274
-1180.517289,200,23.235915
-1230.032791,200,23.725581
-1172.216247,200,24.052246
-1748.10237,200,24.543264
-1140.78435,200,24.879307
-986.74074,200,25.203737
-918.626764,200,25.69431
-1138.84588,200,26.022642
-1016.699362,200,26.348744
-1041.699291,200,26.835268
-1067.668873,200,27.160758
-1127.525808,200,27.658697
-1040.187905,200,27.990749
-1055.018087,200,28.325659
-1124.831486,200,28.823934
-1174.857045,200,29.150397
-1069.105341,200,29.64518
-1247.214123,200,29.977715
-1227.619787,200,30.312522
-928.360829,200,30.799631
-938.437655,200,31.126315
-910.205349,200,31.626743
-888.784442,200,31.960262
-1486.991161,200,32.297899
-1050.123064,200,32.795477
-1000.300266,200,33.131845
-1454.840644,200,33.625671
-1181.070195,200,33.955331
-1187.722538,200,34.279403
-1596.833642,200,34.76914
-959.339366,200,35.106803
-1387.056775,200,35.443513
-993.219446,200,35.950502
-1053.617968,200,36.279576
-1106.138737,200,36.770748
-910.15065,200,37.093848
-1126.071496,200,37.42996
-1073.931729,200,37.923621
-1193.043121,200,38.256343
-1252.962989,200,38.746383
-1101.299835,200,39.074821
-877.077227,200,39.408221
-966.746558,200,39.899959
-1090.096658,200,40.223942
-1188.386114,200,40.712845
-1084.345185,200,41.041777
-1525.125052,200,41.373014
-1776.752036,200,41.872995
-1581.336384,200,42.201803
-991.014203,200,42.693977
-1199.158686,200,43.024585
-1218.980246,200,43.353192
-1013.416866,200,43.848954
-1053.293403,200,44.18092
-1564.586171,200,44.510612
-1309.394799,200,44.999233
-942.768021,200,45.319339
-1113.115925,200,45.804344
-1024.677636,200,46.136999
-1035.123535,200,46.466976
-1703.860927,200,46.957211
