# {"t_start": 1592862431.125109, "env_id": "Pendulum-v0"} 
r,l,t
-870.108042,200,1.773855
-1004.920049,200,2.118188
-1002.315575,200,2.643684
-973.468502,200,2.993442
-951.262644,200,3.341784
-1011.734513,200,3.860419
-1234.831237,200,4.203289
-951.901349,200,4.718601
-1430.906232,200,5.060809
-877.562191,200,5.415609
-1135.300432,200,5.931843
-1053.605504,200,6.277918
-809.254406,200,6.795562
-1264.164675,200,7.14118
-948.109573,200,7.485804
-992.977724,200,7.998246
-1145.065363,200,8.352626
-1086.683211,200,8.877301
-1053.213999,200,9.23805
-1017.341858,200,9.591188
-1174.555169,200,10.10983
-1001.641592,200,10.474151
-896.113658,200,10.838106
-879.331553,200,11.369726
-887.462609,200,11.734318
-1267.821647,200,12.258138
-1023.577502,200,12.62074
-936.644755,200,12.966497
-1217.581565,200,13.486217
-1115.598226,200,13.835057
-1081.089667,200,14.357716
-1011.670921,200,14.706075
-1023.831827,200,15.054781
-1100.350638,200,15.567275
-1582.158901,200,15.913984
-881.979441,200,16.422886
-1133.468333,200,16.772533
-871.587781,200,17.123576
-1587.4779,200,17.640208
-969.425142,200,17.995847
-859.277471,200,18.513979
-980.62332,200,18.867843
-1023.56032,200,19.223204
-886.938307,200,19.742997
-1176.639245,200,20.096283
-1017.424095,200,20.442495
-911.297498,200,20.95988
-1099.127807,200,21.30452
-924.373083,200,21.821252
-967.381034,200,22.166123
-994.815,200,22.50619
-864.032916,200,23.022352
-1191.843953,200,23.377322
-993.203136,200,23.896204
-1663.657856,200,24.246085
-1071.049113,200,24.589278
-892.238811,200,25.102465
-1083.699813,200,25.453908
-1264.279768,200,25.971813
-1382.031503,200,26.328805
-1494.321578,200,26.678798
-997.489581,200,27.192454
-1086.977633,200,27.533175
-979.108289,200,27.875881
-1066.13073,200,28.394357
-831.016265,200,28.747547
-886.565066,200,29.268724
-1015.857269,200,29.610592
-905.756909,200,29.951887
-1063.893397,200,30.471824
-1244.662448,200,30.825631
-1196.720736,200,31.337703
-1085.476813,200,31.688368
-991.948572,200,32.034731
-996.598043,200,32.544957
-1033.184389,200,32.890749
-1177.537514,200,33.410705
-1003.343637,200,33.761985
-1009.385146,200,34.113334
-1220.468519,200,34.631473
-1623.878715,200,34.975758
-996.866572,200,35.506937
-1204.147183,200,35.855193
-967.921225,200,36.202964
-1133.430622,200,36.715402
-1037.097519,200,37.052934
-1082.733319,200,37.394335
-1017.507666,200,37.912158
-1180.989111,200,38.269539
-1365.667747,200,38.784461
-1194.462077,200,39.1334
-880.646209,200,39.477626
-983.381048,200,39.993829
-1093.005505,200,40.342933
-986.424,200,40.858191
-947.456863,200,41.205925
-1185.622415,200,41.550327
-960.045724,200,42.070522
-863.572844,200,42.423596
-1023.900616,200,42.94104
-1062.997923,200,43.28595
-1005.608062,200,43.63011
-1038.052169,200,44.153391
-968.512252,200,44.50361
-981.204468,200,45.015933
-880.995844,200,45.36249
-973.26511,200,45.709818
-902.192248,200,46.231248
-1045.630849,200,46.580752
-1014.397562,200,46.927232
-1166.216793,200,47.439824
-885.844786,200,47.793
-1007.109579,200,48.303398
-955.815815,200,48.652281
-1376.448297,200,49.005802
-1286.245682,200,49.528489
-1108.921655,200,49.877026
-865.827978,200,50.396765
-1023.953779,200,50.744714
-1071.809419,200,51.0893
-1003.049442,200,51.605384
-887.946153,200,51.957029
-1108.081431,200,52.483776
-1009.329046,200,52.837824
-1003.245002,200,53.203895
-1009.572569,200,53.727411
-979.709775,200,54.076972
-1152.639587,200,54.424337
-1094.418672,200,54.935121
-1228.57844,200,55.287016
-947.334345,200,55.801938
-1127.458472,200,56.142618
-1051.142717,200,56.480512
-996.185561,200,56.988556
-1006.753031,200,57.332501
-1211.85517,200,57.856162
-908.552449,200,58.205668
-1052.69427,200,58.557171
-1173.54767,200,59.077733
-1000.86448,200,59.430242
-927.141173,200,59.950442
-916.731793,200,60.306451
-1004.425377,200,60.650115
-989.027549,200,61.166736
-999.454936,200,61.518607
-900.393934,200,62.037768
-1639.294919,200,62.391931
-1046.53803,200,62.742389
-884.174966,200,63.316152
-1085.512238,200,63.691041
-1089.822677,200,64.059776
-976.159781,200,64.709626
-1004.432411,200,65.084777
-1186.006949,200,65.681405
-1006.760993,200,66.09422
-1330.919355,200,66.44388
-1163.988084,200,66.956423
-879.174482,200,67.30313
-1153.441909,200,67.819821
-1000.796678,200,68.165754
-1020.911639,200,68.509757
-1162.367572,200,69.02767
-857.512811,200,69.379677
-1061.159482,200,69.897332
-1047.551647,200,70.246198
-1138.355257,200,70.595115
-1002.117452,200,71.109639
-1072.306679,200,71.460356
-976.107079,200,71.981678
-942.932989,200,72.332973
-1009.53981,200,72.68129
-904.476001,200,73.201466
-992.382502,200,73.550357
-1240.24834,200,73.89713
-1011.744957,200,74.431946
-989.953351,200,74.791108
-1023.994801,200,75.312887
-961.638779,200,75.65895
-871.822067,200,76.006224
-853.615336,200,76.528366
-1009.079815,200,76.890383
-1104.112305,200,77.415957
-955.429849,200,77.770088
-1046.168988,200,78.113939
-990.404403,200,80.254511
-896.813416,200,80.607085
-1430.301873,200,81.121432
-1389.566893,200,81.471692
-884.90509,200,81.81553
-1097.026578,200,82.336656
-977.53388,200,82.69479
-1070.777323,200,83.04471
-1038.028266,200,83.563159
-1075.819152,200,83.916222
-986.775762,200,84.438758
-1604.426239,200,84.783232
-962.183283,200,85.133416
-1148.747438,200,85.651812
-1601.918723,200,85.995124
-886.991875,200,86.527145
-980.83777,200,86.87878
-1189.136308,200,87.230673
-1271.304756,200,87.751207
-1008.140151,200,88.108618
-900.299562,200,88.627567
-1212.320067,200,88.980545
-979.235946,200,89.346509
-1294.142612,200,89.867462
-999.977979,200,90.209968
-958.767618,200,90.730221
-934.21841,200,91.083565
-1071.345476,200,91.439905
-1102.975899,200,91.964835
-991.486642,200,92.323442
-1443.041586,200,92.673877
-1017.969795,200,93.192834
-1082.035994,200,93.539475
-1142.443891,200,94.057147
-1061.79709,200,94.406753
-1067.991889,200,94.766611
-981.00775,200,95.295651
-1109.931484,200,95.653105
-1027.368951,200,96.179495
-987.776883,200,96.524543
-1113.471236,200,96.884223
-1386.107707,200,97.401526
-1001.584004,200,97.74995
-1435.849598,200,98.278992
-982.348217,200,98.625481
-1193.056972,200,98.978316
-1069.329734,200,99.497439
-1114.25118,200,99.846846
-993.397754,200,100.367877
-977.665839,200,100.722429
-1027.474619,200,101.077122
-1176.355056,200,101.593549
-1246.950997,200,101.939481
-937.273912,200,102.288163
-1003.836297,200,102.804561
-874.011749,200,103.161033
-1560.016771,200,103.680129
-890.350169,200,104.031355
-983.508847,200,104.386
-987.062444,200,104.908329
-1013.556385,200,105.252684
-751.41675,200,105.776333
-1090.695851,200,106.135944
-880.075312,200,106.482223
-1288.524333,200,106.998379
-946.584023,200,107.354363
-1165.438014,200,107.870718
-919.990995,200,108.223207
-1590.589214,200,108.576928
-1181.149637,200,109.099212
-994.129168,200,109.450921
-1009.865061,200,109.795932
-1096.173809,200,110.316973
-886.447982,200,110.65858
-1311.661518,200,111.168224
-975.732412,200,111.520305
-1249.851053,200,111.871126
-880.792138,200,112.385337
-1091.693899,200,112.739124
-985.906607,200,113.26796
-882.399443,200,113.621952
-1077.771035,200,113.965437
-1013.532063,200,114.480721
-885.736346,200,114.831197
-1082.783008,200,115.347309
-1189.125572,200,115.698407
-1018.05095,200,116.048435
-1548.60908,200,116.566975
-1008.823535,200,116.910887
-1355.035515,200,117.428763
-1264.923174,200,117.772447
-1010.526773,200,118.120044
-1365.390663,200,118.634537
-911.401989,200,118.985156
-959.693873,200,119.334751
-1432.570488,200,119.853739
-875.290924,200,120.20482
-1023.542523,200,120.720916
-1103.577809,200,121.072362
-878.181258,200,121.420665
-1314.607468,200,121.941996
-1028.848288,200,122.297482
-1455.200923,200,122.818305
-984.789863,200,123.175403
-988.560119,200,123.519938
-1165.574603,200,124.033785
-987.513483,200,124.384522
-1069.331103,200,124.917147
-961.972282,200,125.26948
-1070.161268,200,125.625106
-872.224436,200,126.142303
-979.408077,200,126.49753
-1350.680698,200,127.016337
-1317.52877,200,127.371495
-1073.946476,200,127.724084
-961.153789,200,128.247915
-1167.651783,200,128.602619
-1019.921207,200,128.953323
-1060.547429,200,129.467732
-1780.766992,200,129.81116
-922.515816,200,130.325819
-997.694439,200,130.679449
-749.782971,200,131.033459
-841.812691,200,131.548819
-1007.177318,200,131.89943
-952.635245,200,132.41641
-916.32972,200,132.765557
-973.766516,200,133.112982
-1438.011519,200,133.627867
-967.033051,200,133.974489
-890.02059,200,134.496709
-1153.640312,200,134.846422
-960.965787,200,135.195657
